Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
1961-02-15,Calcutta,Lawrence Welk And His Orchestra,1,1,1,11,https://charts-static.billboard.com/img/1960/12/lawrence-welk-and-his-orchestra-oa9-180x180.jpg
1961-02-22,Pony Time,Chubby Checker,1,4,1,6,https://charts-static.billboard.com/img/1961/01/chubby-checker-oxy-180x180.jpg
1961-03-01,Pony Time,Chubby Checker,1,1,1,7,https://charts-static.billboard.com/img/1961/01/chubby-checker-oxy-180x180.jpg
1961-03-08,Pony Time,Chubby Checker,1,1,1,8,https://charts-static.billboard.com/img/1961/01/chubby-checker-oxy-180x180.jpg
1961-03-15,Surrender,Elvis Presley With The Jordanaires,1,2,1,5,https://charts-static.billboard.com/img/1961/02/elvis-presley-nq7-180x180.jpg
1961-03-22,Surrender,Elvis Presley With The Jordanaires,1,1,1,6,https://charts-static.billboard.com/img/1961/02/elvis-presley-nq7-180x180.jpg
1961-03-29,Blue Moon,The Marcels,1,6,1,5,https://charts-static.billboard.com/img/1961/03/the-marcels-3dg-106x106.jpg
1961-04-05,Blue Moon,The Marcels,1,1,1,6,https://charts-static.billboard.com/img/1961/03/the-marcels-3dg-106x106.jpg
1961-04-12,Blue Moon,The Marcels,1,1,1,7,https://charts-static.billboard.com/img/1961/03/the-marcels-3dg-106x106.jpg
1961-04-19,Runaway,Del Shannon,1,2,1,8,https://charts-static.billboard.com/img/1961/03/del-shannon-4o5-180x180.jpg
1961-04-26,Runaway,Del Shannon,1,1,1,9,https://charts-static.billboard.com/img/1961/03/del-shannon-4o5-180x180.jpg
1961-05-03,Runaway,Del Shannon,1,1,1,10,https://charts-static.billboard.com/img/1961/03/del-shannon-4o5-180x180.jpg
1961-05-10,Runaway,Del Shannon,1,1,1,11,https://charts-static.billboard.com/img/1961/03/del-shannon-4o5-180x180.jpg
1961-05-17,Mother-In-Law,Ernie K-Doe,1,2,1,9,#
1961-05-24,Travelin' Man,Ricky Nelson,1,5,1,6,#
1961-05-31,Running Scared,Roy Orbison,1,3,1,9,https://charts-static.billboard.com/img/1961/04/roy-orbison-ro4-106x106.jpg
1961-06-07,Travelin' Man,Ricky Nelson,1,2,1,8,#
1961-06-14,Moody River,Pat Boone,1,2,1,8,https://charts-static.billboard.com/img/1961/05/pat-boone-4yc-180x180.jpg
1961-06-21,Quarter To Three,U.S. Bonds,1,3,1,6,#
1961-06-28,Quarter To Three,U.S. Bonds,1,1,1,7,#
1961-07-05,Tossin' And Turnin',Bobby Lewis,1,2,1,12,https://charts-static.billboard.com/img/1961/04/bobby-lewis-q0g-180x180.jpg
1961-07-12,Tossin' And Turnin',Bobby Lewis,1,1,1,13,https://charts-static.billboard.com/img/1961/04/bobby-lewis-q0g-180x180.jpg
1961-07-19,Tossin' And Turnin',Bobby Lewis,1,1,1,14,https://charts-static.billboard.com/img/1961/04/bobby-lewis-q0g-180x180.jpg
1961-07-26,Tossin' And Turnin',Bobby Lewis,1,1,1,15,https://charts-static.billboard.com/img/1961/04/bobby-lewis-q0g-180x180.jpg
1961-08-02,Tossin' And Turnin',Bobby Lewis,1,1,1,16,https://charts-static.billboard.com/img/1961/04/bobby-lewis-q0g-180x180.jpg
1961-08-09,Tossin' And Turnin',Bobby Lewis,1,1,1,17,https://charts-static.billboard.com/img/1961/04/bobby-lewis-q0g-180x180.jpg
1961-08-16,Tossin' And Turnin',Bobby Lewis,1,1,1,18,https://charts-static.billboard.com/img/1961/04/bobby-lewis-q0g-180x180.jpg
1961-08-23,Wooden Heart,Joe Dowell,1,2,1,10,#
1961-08-30,Michael,The Highwaymen,1,3,1,9,https://charts-static.billboard.com/img/1961/07/the-highwaymen-y9m-106x106.jpg
1961-09-06,Michael,The Highwaymen,1,1,1,10,https://charts-static.billboard.com/img/1961/07/the-highwaymen-y9m-106x106.jpg
