Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL,Track URI
1974-06-05,Band On The Run,Paul McCartney And Wings,1,2,1,8,https://charts-static.billboard.com/img/1970/05/paul-mccartney-grq-180x180.jpg,spotify:track:1H4idkmruFoJBg1DvUv2tY
1974-06-12,Billy; Don't Be A Hero,Bo Donaldson And The Heywoods,1,6,1,9,#,spotify:track:6ZqgJAbxuEUjazBLN5V0U4
1974-06-19,Billy; Don't Be A Hero,Bo Donaldson And The Heywoods,1,1,1,10,#,spotify:track:6ZqgJAbxuEUjazBLN5V0U4
1974-06-26,Sundown,Gordon Lightfoot,1,3,1,12,https://charts-static.billboard.com/img/1974/04/gordon-lightfoot-dhb-sundown-mkp-180x180.jpg,spotify:track:0SjnBEHZVXgCKvOrpvzL2k
1974-07-03,Rock The Boat,The Hues Corporation,1,6,1,7,https://charts-static.billboard.com/img/1974/05/the-hues-corporation-5d9-106x106.jpg,spotify:track:7fu3Tv5rcoGD1PZV7s57WW
1974-07-10,Rock Your Baby,George McCrae,1,4,1,7,https://charts-static.billboard.com/img/1974/05/george-mccrae-4dd-91x91.jpg,spotify:track:16KwF7IrKHTVTitUKH58g3
1974-07-17,Rock Your Baby,George McCrae,1,1,1,8,https://charts-static.billboard.com/img/1974/05/george-mccrae-4dd-91x91.jpg,spotify:track:16KwF7IrKHTVTitUKH58g3
1974-07-24,Annie's Song,John Denver,1,2,1,9,https://charts-static.billboard.com/img/1974/06/john-denver-3ts-106x106.jpg,spotify:track:4J0DbyODwZJcmIAiTSJfMF
1974-07-31,Annie's Song,John Denver,1,1,1,10,https://charts-static.billboard.com/img/1974/06/john-denver-3ts-106x106.jpg,spotify:track:4J0DbyODwZJcmIAiTSJfMF
1974-08-07,Feel Like Makin' Love,Roberta Flack,1,3,1,8,https://charts-static.billboard.com/img/1840/12/roberta-flack-vgw-180x180.jpg,spotify:track:7gkboYtvhuXNS4EUwmFPcw
1974-08-14,The Night Chicago Died,Paper Lace,1,2,1,10,#,spotify:track:4f4RRYN3R7glPElFjeoUnC
