Song,Artist,Track ID
People Got To Be Free,The Rascals,5tUEIByLWg1sYWajZ2x5zx
Harper Valley P.T.A.,Jeannie C. Riley,63EQVLdtGL6rZf8mPKW7QY
Hey Jude,The Beatles,0aym2LBJBk9DAYuHHutrIl
Love Child,Diana Ross & The Supremes,69EILuL34ggLWQsa626bes
I Heard It Through The Grapevine,Marvin Gaye,1tqT6DhmsrtQgyCKUwotiw
Crimson And Clover,Tommy James And The Shondells,74ohdXevc7VsXl96ofi3Kn
Everyday People,Sly & The Family Stone,4ZVZBc5xvMyV3WzWktn8i7
Dizzy,Tommy Roe,5LvIl1VHaqtCJJXwrB8QR9
Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,0HZlND4giwzgolBpaNIRGV
Get Back,The Beatles With Billy Preston,4MLBqAEzNN89o2M9h92Z26
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,0oFkaYVT0tVb9v5sOaMvJv
In The Year 2525,Zager & Evans,5UVsbUV0Kh033cqsZ5sLQi
Honky Tonk Women,The Rolling Stones,7HIG9Utsra6sL79nA1Tn0y
Sugar; Sugar,The Archies,6MTd61g9zq6CB1FnJydjEb
I Can't Get Next To You,The Temptations,6aL6pPBaTMGgM558mplSnj
Suspicious Minds,Elvis Presley,1H5IfYyIIAlgDX8zguUzns
Wedding Bell Blues,The 5th Dimension,0bzNvVatHKKtAudmRvar8J
Come Together/Something,The Beatles,1aIh8C6OpXxOdM4pJatdIW
Na Na Hey Hey Kiss Him Goodbye,Steam,1mrSHPNTDdMkXpR4BiSiD7
Leaving On A Jet Plane,Peter| Paul & Mary,6ZSTinOwx5dKFYc6iYyGDn
Someday We'll Be Together,Diana Ross & The Supremes,79Yk6AlSKi5dxDFINID2hS
Raindrops Keep Fallin' On My Head,B.J. Thomas,2s1Yh0AywJhLsKKZ9vM0tm
I Want You Back,Jackson 5,5LxvwujISqiB8vpRYv887S
Venus,The Shocking Blue,0Z3xhSOhrawLV81YdiDiiJ
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,74iQ3gahRTOGc19bYadBE3
Bridge Over Troubled Water,Simon & Garfunkel,6l8EbYRtQMgKOyc1gcDHF9
Let It Be,The Beatles,7iN1s7xHE4ifF5povM6A48
ABC,Jackson 5,6D8kc7RO0rqBLSo2YPflJ5
American Woman/No Sugar Tonight,The Guess Who,0emHuukZSuaOzOlsAWHj2W
Everything Is Beautiful,Ray Stevens,6dK0AYajyKG5xiduYXkISl
The Long And Winding Road/For You Blue,The Beatles,3mlMpmY8oZIBFc39D9zLbh
The Love You Save/I Found That Girl,Jackson 5,39SyB2NWiRlMtcKrI2rr4k
Mama Told Me (Not To Come),Three Dog Night,1CAO7hiNOxJRPW4nFv2aRO
(They Long To Be) Close To You,Carpenters,50q2aUjWoTn6CJIfSPRJQA
Make It With You,Bread,7wWw7hBmErNg9u5w6Xx0vy
War,Edwin Starr,4ZEEcEMGjkWOfZNBcIB9yE
Ain't No Mountain High Enough,Diana Ross,1KbuhBnzMHp4eq1q6flhWd
Cracklin' Rosie,Neil Diamond,5pkd9ib1RgbkAd1R9bIOCa
I'll Be There,Jackson 5,5RdhBLmB4DyFHLglRrfx63
I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy,22vqiTM3mI3r4P1P2N4qUi
The Tears Of A Clown,Smokey Robinson & The Miracles,6QyQmdvQ1ywNccYa0pwLNQ
My Sweet Lord/Isn't It A Pity,George Harrison,0KZodeWxqxd88F9wY1cqgs
Knock Three Times,Dawn,5eieTS268veCXyZoLoy7eP
One Bad Apple,The Osmonds,50UoJUrslRVqG0cg6uboyn
Me And Bobby McGee,Janis Joplin,1IqFh00G2kvvMm8pRMpehA
Just My Imagination (Running Away With Me),The Temptations,39Bd345OWEhRNyfayhp9gv
Joy To The World,Three Dog Night,2ymeOsYijJz09LfKw3yM2x
Brown Sugar,The Rolling Stones,61UuPxxYUvacEH6SHIK3sU
Want Ads,The Honey Cone,0zDHmuznzH58kkLutgrbiD
It's Too Late/I Feel The Earth Move,Carole King,12q3V8ShACq2PSWINMc2rC
Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders,3mDOHVY9MWZOTODSNF5GBj
You've Got A Friend,James Taylor,6zV8IpLvw0tkRSVCFQJB1y
How Can You Mend A Broken Heart,Bee Gees,1jy0RbDHyBMTupSdc98XbG
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,5SwgE4wA0P7f6AEz2UQMB2
Go Away Little Girl,Donny Osmond,6SvOdNsEfi7EDB0oFtH3YG
