,track_name,track_id,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
623,Nothing's Gonna Stop Us Now,3X7uFMzJrEE0sxn62qd8Ch,Starship,0kObWap02DEg9EAJ3PBxzf,0.4548195160760289,0.7109011666723719,6,-4.92,1,-0.9013115731168884,-0.9143837371168231,-1.0,-0.8453040645486612,0.24053676651642486,95.99,4,4:30,0.05614232915747097,0.8986963285771266,0.3398676713379214,0.1737696257043695
624,I Knew You Were Waiting (For Me),2gJDyiRxxIglLXp545SPVL,Aretha Franklin & George Michael,7nwUJBm0HE4ZxD3f5cy5ok,0.5633507903113082,0.7751854745086535,9,-6.171,1,-0.7842298640526102,-0.39518616302894294,-1.0,-0.0716344015260002,0.5683997819535824,107.931,4,4:00,0.7342114590053093,0.6262283826925781,-0.6499090277781724,-0.3423270715409201
625,(I Just) Died In Your Arms,4ByEFOBuLXpCqvO1kw8Wdm,Cutting Crew,3cniTumSiUysiPWXapGx1i,0.4225424643271507,0.5847305826792826,11,-11.402,0,-0.808997521771245,-0.9545107400137697,0.24717137337177641,-0.8721227533635735,0.19635240856590475,124.945,4,4:40,0.7641121419372523,0.9797312457325735,0.7594115325645765,0.24960553050589462
626,With Or Without You,6ADSaE87h8Y3lccZlBJdXH,U2,51Blml2LZPmy7TTiAg47vQ,0.26512653916017026,0.0318252255760203,2,-11.822,1,-0.8764473580868054,-0.9995549839785406,0.9124899801008237,-0.6550910778281009,-0.6877009368161072,110.171,4,4:55,0.42915047770325154,0.9898834203539417,-0.3194451904674914,-0.027086088462537905
627,You Keep Me Hangin' On,1wEeNtO7z41aUqC80shxqK,Kim Wilde,73a6pNH4YtLNgDbPQwXveo,0.530516369078774,0.5091199054839037,7,-12.154,0,-0.8572525632624663,-0.7745026996306833,0.23965076480843184,-0.6577607469257992,0.5615762177113117,123.44,4,4:15,0.7278769008479431,0.8927131432672681,0.6311508577251452,0.637701121790867
628,Always,5ecomU85GzPgOJZ315oZ88,Atlantic Starr,2YdVmtVBpIrv0N6WiBzSqm,0.40082518589822835,0.14240602484997078,0,-9.162,1,-0.8910058727430865,-0.35060124161816664,-0.13403261950678103,-0.5142981017570742,-0.21231129525620052,131.25,4,4:46,0.42915047770325154,1.0,-0.07275508629621319,-0.00043575970537645947
629,Head To Toe,5VzqFMyPERPObMOzZdELuK,Lisa Lisa And Cult Jam,1vgjN6nIPNKiiQGE9PtzTT,0.8480733102241815,0.19520002969717276,11,-11.36,0,-0.48605705259608534,-0.8789876715229025,0.5758604160804159,-0.5630974515363598,0.7771445129605508,113.763,4,5:03,0.6766934730424614,1.0,0.0056795165118628255,0.13703719558508687
630,I Wanna Dance With Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,0.5702166619958413,0.7464320590534046,1,-8.824,1,-0.8052103744173579,-0.452497989356059,0.2990880379366354,-0.7976737136539166,0.8212241572812575,118.818,4,4:51,0.7641121419372523,1.0,-0.1663205161743414,0.0740950388093149
631,Alone,54b8qPFqYqIndfdxiLApea,Heart,34jw2BbxjoYalTp8cJFCPv,0.023298247513306114,0.07857717337751224,1,-13.099,1,-0.8466248872902108,0.4363010998925396,0.281918533223364,-0.7778834873305965,-0.5469994155542885,175.124,4,3:38,0.22140012426952893,0.992777492895242,-1.0,-0.19673906683051878
632,"Shakedown (From ""Beverly Hills Cop II"")",303oOLP2Jf6M4rke52qItM,Bob Seger,485uL27bPomh29R4JmQehQ,0.32352145905897656,0.9329940413852738,2,-5.365,1,-0.6943170262806722,-0.9076083621741399,-0.09619868797020426,-0.23919492943120946,0.17887904420619583,170.696,4,4:01,0.3561438102252754,0.5378506711275022,-0.4120820419426111,-0.6244645059079503
633,I Still Haven't Found What I'm Looking For,6wpGqhRvJGNNXwWlPmkMyO,U2,51Blml2LZPmy7TTiAg47vQ,0.31043686582778474,0.6650473699070247,1,-9.424,1,-0.8411086315536904,-0.961109076288866,0.4580702039961364,-0.8052334628217386,0.473147044312517,100.894,4,4:37,0.531069492725954,1.0,0.8428726616125957,-0.010656776704901061
634,Who's That Girl,3G0NNqwQ1sqRpySr6soHlH,Madonna,6tbjWDEIzxoDsBA1FuhfPW,0.4225424643271507,0.4457705751208034,9,-13.592,0,-0.8322123510613914,-0.4356651592854318,0.7475789824797283,-0.9009150001713295,0.7564503246786696,103.893,4,3:59,0.9076479078823336,1.0,-0.0685733608080723,-0.12980969675980547
635,La Bamba,0uMMLry3hzWGn3q3loqMkm,Los Lobos,6OWapcJm9xd55ci9CYbAuT,0.1997132382379061,0.6484954173472834,0,-12.239,1,-0.8022670690080922,-0.6085410947332626,0.281225541380266,-0.384608239113275,0.822786177336488,156.336,4,2:54,0.16992500144231237,0.7294618446295023,1.0,0.5998324059780282
636,I Just Can't Stop Loving You,2fytePz8UsbUr8n33QBEcm,Michael Jackson With Siedah Garrett,3fMbdgg4jU18AjLCKBhRSm,0.47968035105019213,0.1086702708515237,5,-8.925,1,-0.8525732206023573,0.4873857424280992,-0.14223894579731589,-0.9681890341798486,-0.2890214085513677,100.139,4,4:11,-0.6627159288823219,0.7578429594997012,0.21572580566247002,0.1292441048739612
