,Song,Artist
2064,gettin' jiggy wit it,will smith
2067,all my life,k-ci jojo
2070,too close,next
2074,my all,mariah carey
2076,the boy is mine,brandy monica
2089,i don't want to,aerosmith
2093,the first night,monica
2095,one week,barenaked ladies
2099,doo wop,lauryn hill
2101,lately,divine
2102,i'm your angel,r. kelly celine dion
2108,have you ever,brandy
2110,baby one more time,britney spears
2112,angel of mine,monica
2116,believe,cher
2120,no scrubs,tlc
2124,livin' la vida loca,ricky martin
2129,if you had my,jennifer lopez
2134,bills bills bills,destiny's child
2135,wild wild west,will smith
2136,genie in a bottle,christina aguilera
2141,bailamos,enrique iglesias
2143,unpretty,tlc
2146,heartbreaker,mariah carey
2148,smooth,santana
2160,what a girl wants,christina aguilera
2162,i knew i loved,savage garden
2165,thank god i found,mariah carey
2167,amazed,lonestar
2169,say my name,destiny's child
2172,maria maria,santana
2182,try again,aaliyah
2183,be with you,enrique iglesias
2186,everything you want,vertical horizon
2187,bent,matchbox twenty
2188,it's gonna be me,*nsync
2190,incomplete,sisqo
2192,doesn't really matter,janet
2195,music,madonna
2199,come on over baby,christina aguilera
2203,with arms wide open,creed
2204,independent women part i,destiny's child
2215,it wasn't me,shaggy
2217,ms. jackson,outkast
2218,stutter,joe
2222,butterfly,crazy town
2223,angel,shaggy
2225,all for you,janet
2232,lady marmalade,christina aguilera lil' kim
2237,u remind me,usher
2241,bootylicious,destiny's child
2243,fallin',alicia keys
2246,i'm real,jennifer lopez
2254,family affair,mary j. blige
2260,u got it bad,usher
2261,how you remind me,nickelback
2270,always on time,ja rule
2272,ain't it funny,jennifer lopez
2278,foolish,ashanti
2288,hot in herre,nelly
2295,dilemma,nelly
2302,a moment like this,kelly clarkson
2307,lose yourself,eminem
2319,bump bump bump,b2k p. diddy
2320,all i have,jennifer lopez
2324,in da club,50 cent
2333,get busy,sean paul
2336,21 questions,50 cent
2340,this is the night,clay aiken
2342,crazy in love,beyonce
2350,shake ya tailfeather,nelly p. diddy murphy
2354,baby boy,beyonce
2363,stand up,ludacris
2364,hey ya,outkast
2373,the way you move,outkast
2374,slow jamz,twista
2375,yeah,usher
2387,burn,usher
2394,i believe,fantasia
2396,confessions part ii,usher
2398,slow motion,juvenile
2400,lean back,terror squad
2403,goodies,ciara
2410,my boo,usher and alicia keys
2416,drop it like it's,snoop dogg
2419,let me love you,mario
2428,candy shop,50 cent
2437,hollaback girl,gwen stefani
2441,we belong together,mariah carey
2445,inside your heaven,carrie underwood
2456,gold digger,kanye west
2466,run it,chris brown
2471,don't forget about us,mariah carey
2473,laffy taffy,d4l
2474,grillz,nelly
2476,check on it,beyonce
2481,you're beautiful,james blunt
2482,so sick,ne-yo
2484,temperature,sean paul
2485,bad day,daniel powter
2490,sos,rihanna
2493,ridin',chamillionaire
2495,hips don't lie,shakira
2497,do i make you,taylor hicks
2498,promiscuous,nelly furtado
2504,london bridge,fergie
2507,sexyback,justin timberlake
2514,money maker,ludacris
2516,my love,justin timberlake
2519,i wanna love you,akon
2521,irreplaceable,beyonce
2531,say it right,nelly furtado
2532,what goes around comes,justin timberlake
2533,this is why i'm,mims
2535,glamorous,fergie
2537,don't matter,akon
2539,give it to me,timbaland
2541,girlfriend,avril lavigne
2542,makes me wonder,maroon 5
2544,buy u a drank,t-pain
2546,umbrella,rihanna
2553,hey there delilah,plain white t's
2555,beautiful girls,sean kingston
2559,big girls don't cry,fergie
2560,crank that,soulja boy tell'em
2562,stronger,kanye west
2568,kiss kiss,chris brown
2571,no one,alicia keys
2576,low,flo rida
2586,love in this club,usher
2589,bleeding love,leona lewis
2590,touch my body,mariah carey
2593,lollipop,lil wayne
2596,take a bow,rihanna
2601,viva la vida,coldplay
2602,i kissed a girl,katy perry
2609,disturbia,rihanna
2611,whatever you like,t.i.
2614,so what,p!nk
2617,live your life,t.i.
2618,womanizer,britney spears
2625,single ladies,beyonce
2630,just dance,lady gaga
