uri,Song,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,track_href,analysis_url,duration_ms,time_signature,num_samples,duration,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
spotify:track:3goSVuTt3fDYDP6kRnFwuL,Take A Bow,Rihanna,0.518,0.467,9,-7.536,1,0.162,0.248,0.0,0.0941,0.559,79.965,3goSVuTt3fDYDP6kRnFwuL,https://api.spotify.com/v1/tracks/3goSVuTt3fDYDP6kRnFwuL,https://api.spotify.com/v1/audio-analysis/3goSVuTt3fDYDP6kRnFwuL,229413,4,5058564,229.41333,22050,1,0.17986,219.8175,0.387,0.917,0.494,0.539
spotify:track:1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/audio-analysis/1mea3bSkSGXuIRvnydlB5b,242373,4,5344332,242.37334,22050,1,0.49946,231.05016,0.744,0.827,0.399,0.598
spotify:track:005lwxGU1tms6HGELIcUv9,I Kissed A Girl,Katy Perry,0.7020000000000001,0.76,5,-3.174,1,0.0684,0.0022600000000000003,0.0,0.132,0.6960000000000001,129.996,005lwxGU1tms6HGELIcUv9,https://api.spotify.com/v1/tracks/005lwxGU1tms6HGELIcUv9,https://api.spotify.com/v1/audio-analysis/005lwxGU1tms6HGELIcUv9,179640,4,3961062,179.64,22050,1,0.10603,176.7561,0.538,1.0,0.006,0.238
spotify:track:2VOomzT6VavJOGBeySqaMc,Disturbia,Rihanna,0.707,0.8140000000000001,11,-4.509,0,0.0577,0.08610000000000001,0.0,0.168,0.717,124.921,2VOomzT6VavJOGBeySqaMc,https://api.spotify.com/v1/tracks/2VOomzT6VavJOGBeySqaMc,https://api.spotify.com/v1/audio-analysis/2VOomzT6VavJOGBeySqaMc,238627,4,5261718,238.62666,22050,1,0.1893,229.99947,0.736,0.9,0.363,0.466
spotify:track:1IAzD1muglOxOcPbUHs70R,Whatever You Like,T.I.,0.68,0.687,9,-6.162,0,0.0709,0.0161,0.0,0.261,0.467,150.053,1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/tracks/1IAzD1muglOxOcPbUHs70R,https://api.spotify.com/v1/audio-analysis/1IAzD1muglOxOcPbUHs70R,249533,4,5502210,249.53333,22050,1,0.0,239.5893,0.354,1.0,0.439,0.451
spotify:track:0JiY190vktuhSGN6aqJdrt,So What,P!nk,0.534,0.87,11,-3.078,0,0.0425,0.000334,0.0,0.241,0.462,126.019,0JiY190vktuhSGN6aqJdrt,https://api.spotify.com/v1/tracks/0JiY190vktuhSGN6aqJdrt,https://api.spotify.com/v1/audio-analysis/0JiY190vktuhSGN6aqJdrt,215160,4,4744278,215.16,22050,1,0.37125,212.31166,0.665,1.0,0.608,0.337
spotify:track:3jlbL2OTD5YmIunYzgQTAN,Live Your Life,T.I. Featuring Rihanna,0.375,0.862,11,-3.363,0,0.255,0.07100000000000001,0.0,0.211,0.47800000000000004,159.841,3jlbL2OTD5YmIunYzgQTAN,https://api.spotify.com/v1/tracks/3jlbL2OTD5YmIunYzgQTAN,https://api.spotify.com/v1/audio-analysis/3jlbL2OTD5YmIunYzgQTAN,338853,4,7471716,338.85333,22050,1,0.0,335.77795,0.009,1.0,0.151,0.27
spotify:track:4fixebDZAVToLbUCuEloa2,Womanizer,Britney Spears,0.724,0.6950000000000001,11,-5.226,1,0.062200000000000005,0.073,0.0,0.0889,0.23500000000000001,139.0,4fixebDZAVToLbUCuEloa2,https://api.spotify.com/v1/tracks/4fixebDZAVToLbUCuEloa2,https://api.spotify.com/v1/audio-analysis/4fixebDZAVToLbUCuEloa2,224400,4,4948020,224.4,22050,1,0.43542,220.57214,0.653,1.0,0.369,0.294
spotify:track:2ZBNclC5wm4GtiWaeh0DMx,Single Ladies (Put A Ring On It),Beyonce,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,2ZBNclC5wm4GtiWaeh0DMx,https://api.spotify.com/v1/tracks/2ZBNclC5wm4GtiWaeh0DMx,https://api.spotify.com/v1/audio-analysis/2ZBNclC5wm4GtiWaeh0DMx,193213,4,4260354,193.21333,22050,1,0.37683,188.42413,0.37,1.0,0.711,0.607
spotify:track:2x7MyWybabEz6Y6wvHuwGE,Just Dance,Lady Gaga Featuring Colby O'Donis,0.8220000000000001,0.739,1,-4.541,0,0.031100000000000003,0.0264,4.2800000000000004e-05,0.181,0.745,118.99,2x7MyWybabEz6Y6wvHuwGE,https://api.spotify.com/v1/tracks/2x7MyWybabEz6Y6wvHuwGE,https://api.spotify.com/v1/audio-analysis/2x7MyWybabEz6Y6wvHuwGE,241933,4,5334630,241.93333,22050,1,0.0,235.34006,0.826,1.0,0.613,0.592
spotify:track:4Dm32oO01YpIubCHaAtKkN,My Life Would Suck Without You,Kelly Clarkson,0.526,0.882,9,-4.006,1,0.0509,0.0014,0.0,0.14400000000000002,0.424,144.982,4Dm32oO01YpIubCHaAtKkN,https://api.spotify.com/v1/tracks/4Dm32oO01YpIubCHaAtKkN,https://api.spotify.com/v1/audio-analysis/4Dm32oO01YpIubCHaAtKkN,211493,4,4663428,211.49333,22050,1,0.36431,205.14249,0.865,0.878,0.487,0.567
spotify:track:4dK00wCxlqWEeN8BoM1BHT,Crack A Bottle,Eminem| Dr. Dre & 50 Cent,0.516,0.874,9,-2.571,1,0.186,0.0864,0.0,0.17300000000000001,0.391,169.561,4dK00wCxlqWEeN8BoM1BHT,https://api.spotify.com/v1/tracks/4dK00wCxlqWEeN8BoM1BHT,https://api.spotify.com/v1/audio-analysis/4dK00wCxlqWEeN8BoM1BHT,297520,3,6560316,297.52,22050,1,0.0,286.78384,0.153,0.635,0.272,0.364
spotify:track:3GpbwCm3YxiWDvy29Uo3vP,Right Round,Flo Rida,0.72,0.672,7,-6.852,1,0.0551,0.009000000000000001,0.0,0.232,0.705,124.986,3GpbwCm3YxiWDvy29Uo3vP,https://api.spotify.com/v1/tracks/3GpbwCm3YxiWDvy29Uo3vP,https://api.spotify.com/v1/audio-analysis/3GpbwCm3YxiWDvy29Uo3vP,204640,4,4512312,204.64,22050,1,0.0,198.42612,0.756,0.913,0.794,0.516
spotify:track:5R8dQOPq8haW94K7mgERlO,Poker Face,Lady Gaga,0.851,0.806,4,-4.618,1,0.0787,0.11900000000000001,1.7199999999999998e-06,0.121,0.774,119.001,5R8dQOPq8haW94K7mgERlO,https://api.spotify.com/v1/tracks/5R8dQOPq8haW94K7mgERlO,https://api.spotify.com/v1/audio-analysis/5R8dQOPq8haW94K7mgERlO,237200,4,5230260,237.2,22050,1,0.11701,232.97742,0.629,1.0,0.109,0.253
spotify:track:3opVsyWVYEAFK9bJAG8Opa,Boom Boom Pow,The Black Eyed Peas,0.866,0.857,9,-5.894,1,0.0664,0.13,0.0017000000000000001,0.13,0.40800000000000003,130.049,3opVsyWVYEAFK9bJAG8Opa,https://api.spotify.com/v1/tracks/3opVsyWVYEAFK9bJAG8Opa,https://api.spotify.com/v1/audio-analysis/3opVsyWVYEAFK9bJAG8Opa,251440,4,5544252,251.44,22050,1,3.52363,241.54558,0.268,1.0,0.34,0.331
spotify:track:2H1047e0oMSj10dgp7p2VG,I Gotta Feeling,The Black Eyed Peas,0.744,0.766,0,-6.375,1,0.026500000000000003,0.0873,0.0,0.509,0.61,127.966,2H1047e0oMSj10dgp7p2VG,https://api.spotify.com/v1/tracks/2H1047e0oMSj10dgp7p2VG,https://api.spotify.com/v1/audio-analysis/2H1047e0oMSj10dgp7p2VG,289133,4,6375390,289.13333,22050,1,0.0,286.18015,0.897,0.937,0.687,0.576
spotify:track:6cmm1LMvZdB5zsCwX5BjqE,Down,Jay Sean Featuring Lil Wayne,0.727,0.68,2,-4.498,1,0.0286,0.010100000000000001,0.0,0.0821,0.728,132.012,6cmm1LMvZdB5zsCwX5BjqE,https://api.spotify.com/v1/tracks/6cmm1LMvZdB5zsCwX5BjqE,https://api.spotify.com/v1/audio-analysis/6cmm1LMvZdB5zsCwX5BjqE,212507,4,4685772,212.50667,22050,1,0.36512,202.05424,0.199,0.987,0.473,0.549
spotify:track:6pymOcrCnMuCWdgGVTvUgP,3,Britney Spears,0.6970000000000001,0.709,5,-1.917,0,0.0455,0.045200000000000004,0.0,0.138,0.787,134.91,6pymOcrCnMuCWdgGVTvUgP,https://api.spotify.com/v1/tracks/6pymOcrCnMuCWdgGVTvUgP,https://api.spotify.com/v1/audio-analysis/6pymOcrCnMuCWdgGVTvUgP,213173,4,4700472,213.17332,22050,1,0.44141,199.45361,0.81,1.0,0.749,0.812
